,구별,총인구수,한국인남자,한국인여자,외국인남자,외국인여자,한국남자비율,한국여자비율,외국남자비율,외국여자비율
0,합계,10197604.0,4871560.0,5055408.0,128445.0,142191.0,47.77161380261481,49.574468669307024,1.2595605791321176,1.3943569489460466
1,종로구,162820.0,75611.0,77978.0,4064.0,5167.0,46.43839823117553,47.89215084141997,2.4960078614420835,3.1734430659624127
2,중구,133240.0,61656.0,62656.0,4134.0,4794.0,46.274392074452116,47.02491744220955,3.1026718703092167,3.5980186130291205
3,용산구,244203.0,111167.0,118289.0,7965.0,6782.0,45.522372780023176,48.43879886815478,3.261630692497635,2.7771976593244143
4,성동구,311244.0,150076.0,153304.0,3692.0,4172.0,48.21811826091427,49.25524668748634,1.1862076056084616,1.3404274459909267
5,광진구,372164.0,174599.0,182612.0,6393.0,8560.0,46.91453230296321,49.06761535237153,1.717791081351232,2.300061263314023
6,동대문구,369496.0,177021.0,177058.0,5911.0,9506.0,47.90877303137246,47.91878667157425,1.5997466819667874,2.572693615086496
7,중랑구,414503.0,204265.0,205617.0,1837.0,2784.0,49.279498580227404,49.605672335302756,0.44318135212531634,0.6716477323445186
8,성북구,461260.0,219545.0,230228.0,4531.0,6956.0,47.59680006937519,49.91284741794216,0.9823093266270649,1.5080431860555867
9,강북구,330192.0,160353.0,166333.0,1333.0,2173.0,48.563563017880504,50.37463051800165,0.40370451131462903,0.6581019528032175
10,도봉구,348646.0,170289.0,176340.0,737.0,1280.0,48.84295245033645,50.57852377483177,0.21138920280169568,0.3671345720300821
11,노원구,569384.0,275211.0,290354.0,1612.0,2207.0,48.33486715467944,50.994407991794645,0.28311297823612885,0.38761187528978686
12,은평구,494388.0,238337.0,251606.0,1883.0,2562.0,48.20849211550442,50.89241648260071,0.3808749403302669,0.5182164615646011
13,서대문구,327163.0,152613.0,162369.0,4152.0,8029.0,46.64738983320241,49.62938963146811,1.2690921650675657,2.4541283702619183
14,마포구,389649.0,181346.0,197220.0,4543.0,6540.0,46.54086113399495,50.614784074898175,1.1659211238832898,1.6784336672235782
15,양천구,479978.0,235278.0,240671.0,1839.0,2190.0,49.018496681097886,50.1420898457846,0.3831425607006988,0.4562709124168191
16,강서구,603772.0,291249.0,305999.0,3184.0,3340.0,48.23824225038591,50.68121741319571,0.5273513842973838,0.5531889521209994
17,구로구,447874.0,207114.0,209373.0,17322.0,14065.0,46.24380964289063,46.74819257201802,3.8676056212238263,3.1403921638675163
18,금천구,255082.0,120334.0,116019.0,10224.0,8505.0,47.17463403925012,45.48302114614124,4.008122878133307,3.3342219364753296
19,영등포구,402985.0,183705.0,184367.0,18868.0,16045.0,45.58606399741926,45.75033810191446,4.682060126307431,3.9815377743588467
20,동작구,412520.0,195775.0,204681.0,5442.0,6622.0,47.45830505187627,49.61723067972462,1.3192087656356055,1.6052555027635023
21,관악구,525515.0,256090.0,251113.0,8673.0,9639.0,48.73124458864162,47.78417362016308,1.6503810547748399,1.8342007364204636
22,서초구,450310.0,214036.0,231958.0,2228.0,2088.0,47.530812107215034,51.5107370478115,0.4947702693699895,0.46368057560347314
23,강남구,570500.0,270726.0,294824.0,2575.0,2375.0,47.45416301489921,51.67817703768623,0.4513584574934268,0.4163014899211218
24,송파구,667483.0,321676.0,338908.0,3364.0,3535.0,48.192388420379245,50.77402720368909,0.5039828729720457,0.5296015029596259
25,강동구,453233.0,223488.0,225531.0,1939.0,2275.0,49.30973693442446,49.76049846326283,0.4278152738216326,0.5019493284910852
